name,theta_rad,phi_rad
B1855+09,1.4023094697713987,4.9533700406872905
B1937+21,1.1961263778652136,5.13772499030046
B1953+29,1.0644403650138399,5.2073911951100005
J0023+0923,1.406910612287424,0.10158367417319604
J0030+0451,1.4859553043316727,0.13289421652204092
J0340+4130,0.8462650020438675,0.9616245386278518
J0406+3039,1.035647227661653,1.0757422095182474
J0437-4715,2.395511783407817,1.2098051141698616
J0509+0856,1.414758786327821,1.3498838842940857
J0557+1551,1.2944228622240037,1.559993385736835
J0605+3757,0.9082694745079809,1.5930160324684843
J0610-2100,1.937449953297667,1.615418679642372
J0613-0200,1.6059318286058564,1.630717558199462
J0636+5128,0.6722426584756714,1.728228544659164
J0645+5158,0.6637344707560477,1.7714425152247801
J0709+0458,1.4838617898181556,1.8724739699434827
J0740+6620,0.41289868994879675,2.0104588697498933
J0931-1902,1.9032573658337164,2.492847678442924
J1012+5307,0.6437247350407855,2.672785707090272
J1012-4235,2.314274565168083,2.671294587381074
J1022+1001,1.395714886777529,2.7182047941112657
J1024-0719,1.698591685305527,2.7255252047300944
J1125+7819,0.2036764431657192,2.993230998705023
J1312+0051,1.555960912104945,3.45914309670349
J1453+1902,1.2385434634055685,3.8997724107512948
J1455-3330,2.15570665288832,3.908662705704495
J1600-3053,2.1100518859195074,4.192564637621583
J1614-2230,1.9636475108183578,4.252531627421936
J1630+3734,0.9149309100722691,4.322342192879536
J1640+2224,1.1798000901267782,4.3645409154497665
J1643-1224,1.7875017522594125,4.3791883557285605
J1705-1903,1.9034824426437034,4.4755949828000405
J1713+0747,1.4347700277073943,4.510915035367597
J1719-1438,1.8262012008591983,4.5342254424449555
J1730-2304,1.9735370003275972,4.583066006392645
J1738+0333,1.508784491533873,4.620320617613165
J1741+1351,1.3288546028234924,4.631750649461279
J1744-1134,1.77293824693939,4.6447146593681135
J1745+1017,1.3910641934440346,4.649399919694822
J1747-4036,2.27966582643586,4.6592085175043465
J1751-2857,2.0762950757907404,4.67549621556257
J1802-2124,1.9443148554617915,4.721503567817841
J1811-2405,1.9912193129728892,4.761829381980045
J1832-0836,1.7211617717073528,4.854021851148429
J1843-1113,1.766715052082447,4.903012446698746
J1853+1303,1.3428174968935767,4.947813382634882
J1903+0327,1.5104897147350658,4.987699548280418
J1909-3744,2.2294383322240154,5.016907611598143
J1910+1256,1.3449438931554853,5.018527101710438
J1911+1347,1.33006541010673,5.0261993959922515
J1918-0642,1.687902815742108,5.056221153918381
J1923+2515,1.129904218704225,5.076180392957719
J1944+0907,1.4115691586816776,5.166853176113608
J1946+3417,0.97236817937756,5.1767286126454835
J2010-1323,1.8046517022999182,5.282960527334721
J2017+0603,1.4651770742688934,5.311815432883161
J2033+1734,1.2639169302964577,5.381978032257889
J2043+1711,1.2707506862776399,5.425129104588612
J2124-3358,2.163846616005822,5.605694963605483
J2145-0750,1.7076036667662866,5.697806167447879
J2214+3000,1.047012486648837,5.82349869289204
J2229+2643,1.1042231728686156,5.889823223925002
J2234+0611,1.4627376634227458,5.909617780584579
J2234+0944,1.4007713986754533,5.911346875588322
J2302+4442,0.7905271841191157,6.033528763836873
J2317+1439,1.3149540405644127,6.096234046136392
J2322+2057,1.2051375210523247,6.119002414366659
